intervalos,canal1,canal2,canal3,canal4,canal5
8,0,0,0,0,518
9,0,0,0,0,455
10,0,0,0,0,220
11,0,0,0,0,358
12,0,0,0,0,450
13,0,0,0,0,524
14,0,0,0,0,574
15,0,0,0,0,586
0,0,0,0,0,583
1,0,0,0,0,579
2,0,0,0,0,574
3,0,0,0,0,567
4,0,0,0,0,561
5,0,0,0,0,558
6,0,0,0,0,555
7,0,0,0,0,553
8,0,0,0,0,553
9,0,0,0,0,552
10,0,0,0,0,555
11,0,0,0,0,563
12,0,0,0,0,563
13,0,0,0,0,563
14,0,0,0,0,559
15,0,0,0,0,547
0,0,0,0,0,533
1,0,0,0,0,520
2,0,0,0,0,503
3,0,0,0,0,486
4,0,0,0,0,475
5,0,0,0,0,469
6,0,0,0,0,462
7,0,0,0,0,457
8,0,0,0,0,458
9,0,0,0,0,459
10,0,0,0,0,463
11,0,0,0,0,469
12,0,0,0,0,477
13,0,0,0,0,481
14,0,0,0,0,484
15,0,0,0,0,489
0,0,0,0,0,493
1,0,0,0,0,495
2,0,0,0,0,495
3,0,0,0,0,496
4,0,0,0,0,494
5,0,0,0,0,497
6,0,0,0,0,497
7,0,0,0,0,497
8,0,0,0,0,499
9,0,0,0,0,499
10,0,0,0,0,500
11,0,0,0,0,503
12,0,0,0,0,506
13,0,0,0,0,497
14,0,0,0,0,490
15,0,0,0,0,491
0,0,0,0,0,490
1,0,0,0,0,492
2,0,0,0,0,494
3,0,0,0,0,494
4,0,0,0,0,495
5,0,0,0,0,493
6,0,0,0,0,495
7,0,0,0,0,494
8,0,0,0,0,496
9,0,0,0,0,497
10,0,0,0,0,499
11,0,0,0,0,499
12,0,0,0,0,498
13,0,0,0,0,497
14,0,0,0,0,499
15,0,0,0,0,499
0,0,0,0,0,496
1,0,0,0,0,493
2,0,0,0,0,496
3,0,0,0,0,494
4,0,0,0,0,495
5,0,0,0,0,495
6,0,0,0,0,496
7,0,0,0,0,495
8,0,0,0,0,495
9,0,0,0,0,497
10,0,0,0,0,497
11,0,0,0,0,499
12,0,0,0,0,506
13,0,0,0,0,507
14,0,0,0,0,511
15,0,0,0,0,511
0,0,0,0,0,502
1,0,0,0,0,494
2,0,0,0,0,497
3,0,0,0,0,492
4,0,0,0,0,491
5,0,0,0,0,491
6,0,0,0,0,491
7,0,0,0,0,493
8,0,0,0,0,497
9,0,0,0,0,538
10,0,0,0,0,548
11,0,0,0,0,499
12,0,0,0,0,479
13,0,0,0,0,227
14,0,0,0,0,334
15,0,0,0,0,422
0,0,0,0,0,490
1,0,0,0,0,546
2,0,0,0,0,570
3,0,0,0,0,572
4,0,0,0,0,569
5,0,0,0,0,563
6,0,0,0,0,558
7,0,0,0,0,555
8,0,0,0,0,548
9,0,0,0,0,546
10,0,0,0,0,549
11,0,0,0,0,550
12,0,0,0,0,549
13,0,0,0,0,547
14,0,0,0,0,550
15,0,0,0,0,552
0,0,0,0,0,554
1,0,0,0,0,548
2,0,0,0,0,539
3,0,0,0,0,528
4,0,0,0,0,515
5,0,0,0,0,501
6,0,0,0,0,484
7,0,0,0,0,475
8,0,0,0,0,470
9,0,0,0,0,471
10,0,0,0,0,473
11,0,0,0,0,474
12,0,0,0,0,477
13,0,0,0,0,482
14,0,0,0,0,487
15,0,0,0,0,493
0,0,0,0,0,498
1,0,0,0,0,502
2,0,0,0,0,506
3,0,0,0,0,509
4,0,0,0,0,511
5,0,0,0,0,512
6,0,0,0,0,512
7,0,0,0,0,516
8,0,0,0,0,519
9,0,0,0,0,524
10,0,0,0,0,526
11,0,0,0,0,528
12,0,0,0,0,529
13,0,0,0,0,537
14,0,0,0,0,547
15,0,0,0,0,549
0,0,0,0,0,547
1,0,0,0,0,541
2,0,0,0,0,539
3,0,0,0,0,535
4,0,0,0,0,536
5,0,0,0,0,539
6,0,0,0,0,539
7,0,0,0,0,539
8,0,0,0,0,538
9,0,0,0,0,535
10,0,0,0,0,535
11,0,0,0,0,531
12,0,0,0,0,531
13,0,0,0,0,526
14,0,0,0,0,531
15,0,0,0,0,527
0,0,0,0,0,525
1,0,0,0,0,526
2,0,0,0,0,524
3,0,0,0,0,516
4,0,0,0,0,514
5,0,0,0,0,511
6,0,0,0,0,513
7,0,0,0,0,514
8,0,0,0,0,515
9,0,0,0,0,515
10,0,0,0,0,516
11,0,0,0,0,517
12,0,0,0,0,517
13,0,0,0,0,517
14,0,0,0,0,523
15,0,0,0,0,529
0,0,0,0,0,531
1,0,0,0,0,533
2,0,0,0,0,529
3,0,0,0,0,521
4,0,0,0,0,516
5,0,0,0,0,516
6,0,0,0,0,511
7,0,0,0,0,508
8,0,0,0,0,511
9,0,0,0,0,512
10,0,0,0,0,513
11,0,0,0,0,524
12,0,0,0,0,564
13,0,0,0,0,552
14,0,0,0,0,515
15,0,0,0,0,416
0,0,0,0,0,199
1,0,0,0,0,359
2,0,0,0,0,467
3,0,0,0,0,547
4,0,0,0,0,593
5,0,0,0,0,599
6,0,0,0,0,596
7,0,0,0,0,589
8,0,0,0,0,583
9,0,0,0,0,575
10,0,0,0,0,571
11,0,0,0,0,566
12,0,0,0,0,561
13,0,0,0,0,559
14,0,0,0,0,561
15,0,0,0,0,563
0,0,0,0,0,567
1,0,0,0,0,570
2,0,0,0,0,569
3,0,0,0,0,563
4,0,0,0,0,555
5,0,0,0,0,542
6,0,0,0,0,529
7,0,0,0,0,515
8,0,0,0,0,497
9,0,0,0,0,480
10,0,0,0,0,463
11,0,0,0,0,457
12,0,0,0,0,455
13,0,0,0,0,453
14,0,0,0,0,452
15,0,0,0,0,455
0,0,0,0,0,457
1,0,0,0,0,461
2,0,0,0,0,468
3,0,0,0,0,471
4,0,0,0,0,473
5,0,0,0,0,481
6,0,0,0,0,483
7,0,0,0,0,488
8,0,0,0,0,487
9,0,0,0,0,492
10,0,0,0,0,494
11,0,0,0,0,497
12,0,0,0,0,501
13,0,0,0,0,500
14,0,0,0,0,498
15,0,0,0,0,499
0,0,0,0,0,498
1,0,0,0,0,497
2,0,0,0,0,499
3,0,0,0,0,499
4,0,0,0,0,503
5,0,0,0,0,504
6,0,0,0,0,505
7,0,0,0,0,507
8,0,0,0,0,507
9,0,0,0,0,509
10,0,0,0,0,512
11,0,0,0,0,513
12,0,0,0,0,513
13,0,0,0,0,513
14,0,0,0,0,516
15,0,0,0,0,517
