# OpenSignals Text File Format. Version 1
# {"84:BA:20:5E:FB:98": {"position": 0, "device": "bitalino_rev", "device name": "84:BA:20:5E:FB:98", "device connection": "BTH84:BA:20:5E:FB:98", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2024-3-4", "time": "17:21:6.636", "channels": [2], "sensor": ["ECGBIT"], "label": ["A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A2"], "special": [{}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	560	
1	0	0	0	0	559	
2	0	0	0	0	559	
3	0	0	0	0	559	
4	0	0	0	0	558	
5	0	0	0	0	552	
6	0	0	0	0	540	
7	0	0	0	0	529	
8	0	0	0	0	511	
9	0	0	0	0	494	
10	0	0	0	0	481	
11	0	0	0	0	480	
12	0	0	0	0	479	
13	0	0	0	0	480	
14	0	0	0	0	481	
15	0	0	0	0	485	
0	0	0	0	0	486	
1	0	0	0	0	491	
2	0	0	0	0	492	
3	0	0	0	0	497	
4	0	0	0	0	497	
5	0	0	0	0	500	
6	0	0	0	0	500	
7	0	0	0	0	503	
8	0	0	0	0	502	
9	0	0	0	0	505	
10	0	0	0	0	504	
11	0	0	0	0	504	
12	0	0	0	0	503	
13	0	0	0	0	505	
14	0	0	0	0	503	
15	0	0	0	0	505	
0	0	0	0	0	505	
1	0	0	0	0	506	
2	0	0	0	0	506	
3	0	0	0	0	509	
4	0	0	0	0	507	
5	0	0	0	0	511	
6	0	0	0	0	511	
7	0	0	0	0	514	
8	0	0	0	0	512	
9	0	0	0	0	508	
10	0	0	0	0	501	
11	0	0	0	0	505	
12	0	0	0	0	506	
13	0	0	0	0	506	
14	0	0	0	0	504	
15	0	0	0	0	509	
0	0	0	0	0	511	
1	0	0	0	0	512	
2	0	0	0	0	512	
3	0	0	0	0	513	
4	0	0	0	0	510	
5	0	0	0	0	323	
6	0	0	0	0	139	
7	0	0	0	0	232	
8	0	0	0	0	471	
9	0	0	0	0	575	
10	0	0	0	0	620	
11	0	0	0	0	631	
12	0	0	0	0	622	
13	0	0	0	0	615	
14	0	0	0	0	604	
15	0	0	0	0	595	
0	0	0	0	0	586	
1	0	0	0	0	579	
2	0	0	0	0	570	
3	0	0	0	0	566	
4	0	0	0	0	560	
5	0	0	0	0	561	
6	0	0	0	0	557	
7	0	0	0	0	561	
8	0	0	0	0	560	
9	0	0	0	0	561	
10	0	0	0	0	556	
11	0	0	0	0	550	
12	0	0	0	0	536	
13	0	0	0	0	523	
14	0	0	0	0	502	
15	0	0	0	0	491	
0	0	0	0	0	483	
1	0	0	0	0	482	
2	0	0	0	0	481	
