intervalos,canal1,canal2,canal3,canal4,canal5
8,0,0,0,0,594
9,0,0,0,0,476
10,0,0,0,0,504
11,0,0,0,0,377
12,0,0,0,0,449
13,0,0,0,0,332
14,0,0,0,0,605
15,0,0,0,0,486
0,0,0,0,0,524
1,0,0,0,0,497
2,0,0,0,0,630
3,0,0,0,0,566
4,0,0,0,0,553
5,0,0,0,0,498
6,0,0,0,0,559
7,0,0,0,0,505
8,0,0,0,0,523
9,0,0,0,0,440
10,0,0,0,0,525
11,0,0,0,0,460
12,0,0,0,0,563
13,0,0,0,0,457
14,0,0,0,0,548
15,0,0,0,0,542
0,0,0,0,0,540
1,0,0,0,0,460
2,0,0,0,0,579
3,0,0,0,0,419
4,0,0,0,0,502
5,0,0,0,0,471
6,0,0,0,0,483
7,0,0,0,0,486
8,0,0,0,0,654
9,0,0,0,0,444
10,0,0,0,0,518
11,0,0,0,0,497
12,0,0,0,0,532
13,0,0,0,0,430
14,0,0,0,0,582
15,0,0,0,0,444
0,0,0,0,0,537
1,0,0,0,0,475
2,0,0,0,0,516
3,0,0,0,0,480
4,0,0,0,0,551
5,0,0,0,0,438
6,0,0,0,0,513
7,0,0,0,0,498
8,0,0,0,0,542
9,0,0,0,0,491
10,0,0,0,0,529
11,0,0,0,0,464
12,0,0,0,0,521
13,0,0,0,0,485
14,0,0,0,0,540
15,0,0,0,0,513
0,0,0,0,0,536
1,0,0,0,0,477
2,0,0,0,0,480
3,0,0,0,0,482
4,0,0,0,0,550
5,0,0,0,0,480
6,0,0,0,0,538
7,0,0,0,0,483
8,0,0,0,0,510
9,0,0,0,0,458
10,0,0,0,0,537
11,0,0,0,0,425
12,0,0,0,0,534
13,0,0,0,0,473
14,0,0,0,0,520
15,0,0,0,0,465
0,0,0,0,0,540
1,0,0,0,0,451
2,0,0,0,0,547
3,0,0,0,0,487
4,0,0,0,0,558
5,0,0,0,0,458
6,0,0,0,0,536
7,0,0,0,0,461
8,0,0,0,0,549
9,0,0,0,0,454
10,0,0,0,0,538
11,0,0,0,0,456
12,0,0,0,0,525
13,0,0,0,0,448
14,0,0,0,0,523
15,0,0,0,0,439
0,0,0,0,0,558
1,0,0,0,0,461
2,0,0,0,0,543
3,0,0,0,0,445
4,0,0,0,0,549
5,0,0,0,0,470
6,0,0,0,0,545
7,0,0,0,0,456
8,0,0,0,0,527
9,0,0,0,0,455
10,0,0,0,0,529
11,0,0,0,0,466
12,0,0,0,0,543
13,0,0,0,0,451
14,0,0,0,0,543
15,0,0,0,0,435
0,0,0,0,0,533
1,0,0,0,0,418
2,0,0,0,0,554
3,0,0,0,0,469
4,0,0,0,0,557
5,0,0,0,0,431
6,0,0,0,0,575
7,0,0,0,0,439
8,0,0,0,0,569
9,0,0,0,0,420
10,0,0,0,0,598
11,0,0,0,0,437
12,0,0,0,0,547
13,0,0,0,0,415
14,0,0,0,0,565
15,0,0,0,0,451
0,0,0,0,0,541
1,0,0,0,0,453
2,0,0,0,0,543
3,0,0,0,0,446
4,0,0,0,0,563
5,0,0,0,0,457
6,0,0,0,0,537
7,0,0,0,0,498
8,0,0,0,0,505
9,0,0,0,0,475
10,0,0,0,0,523
11,0,0,0,0,459
12,0,0,0,0,541
13,0,0,0,0,476
14,0,0,0,0,518
15,0,0,0,0,474
0,0,0,0,0,516
1,0,0,0,0,466
2,0,0,0,0,511
3,0,0,0,0,440
4,0,0,0,0,531
5,0,0,0,0,443
6,0,0,0,0,544
7,0,0,0,0,460
8,0,0,0,0,523
9,0,0,0,0,473
10,0,0,0,0,520
11,0,0,0,0,449
12,0,0,0,0,521
13,0,0,0,0,465
14,0,0,0,0,518
15,0,0,0,0,441
0,0,0,0,0,566
1,0,0,0,0,476
2,0,0,0,0,521
3,0,0,0,0,451
4,0,0,0,0,536
5,0,0,0,0,469
6,0,0,0,0,519
7,0,0,0,0,476
8,0,0,0,0,495
9,0,0,0,0,464
10,0,0,0,0,508
11,0,0,0,0,459
12,0,0,0,0,544
13,0,0,0,0,451
14,0,0,0,0,495
15,0,0,0,0,480
0,0,0,0,0,554
1,0,0,0,0,444
2,0,0,0,0,542
3,0,0,0,0,462
4,0,0,0,0,528
5,0,0,0,0,440
6,0,0,0,0,518
7,0,0,0,0,462
8,0,0,0,0,481
9,0,0,0,0,423
10,0,0,0,0,518
11,0,0,0,0,487
12,0,0,0,0,512
13,0,0,0,0,456
14,0,0,0,0,520
15,0,0,0,0,461
0,0,0,0,0,559
1,0,0,0,0,408
2,0,0,0,0,539
3,0,0,0,0,463
4,0,0,0,0,545
5,0,0,0,0,441
6,0,0,0,0,559
7,0,0,0,0,441
8,0,0,0,0,543
9,0,0,0,0,498
10,0,0,0,0,520
11,0,0,0,0,473
12,0,0,0,0,548
13,0,0,0,0,474
14,0,0,0,0,562
15,0,0,0,0,440
0,0,0,0,0,532
1,0,0,0,0,473
