intervalos,canal1,canal2,canal3,canal4,canal5
8,0,0,0,0,224
9,0,0,0,0,223
10,0,0,0,0,223
11,0,0,0,0,224
12,0,0,0,0,223
13,0,0,0,0,223
14,0,0,0,0,223
15,0,0,0,0,224
0,0,0,0,0,224
1,0,0,0,0,223
2,0,0,0,0,223
3,0,0,0,0,224
4,0,0,0,0,223
5,0,0,0,0,223
6,0,0,0,0,223
7,0,0,0,0,224
8,0,0,0,0,224
9,0,0,0,0,223
10,0,0,0,0,223
11,0,0,0,0,224
12,0,0,0,0,224
13,0,0,0,0,223
14,0,0,0,0,223
15,0,0,0,0,224
0,0,0,0,0,224
1,0,0,0,0,224
2,0,0,0,0,224
3,0,0,0,0,224
4,0,0,0,0,224
5,0,0,0,0,224
6,0,0,0,0,224
7,0,0,0,0,224
8,0,0,0,0,224
9,0,0,0,0,224
10,0,0,0,0,224
11,0,0,0,0,224
12,0,0,0,0,224
13,0,0,0,0,224
14,0,0,0,0,224
15,0,0,0,0,224
0,0,0,0,0,224
1,0,0,0,0,224
2,0,0,0,0,224
3,0,0,0,0,224
4,0,0,0,0,224
5,0,0,0,0,224
6,0,0,0,0,224
7,0,0,0,0,225
8,0,0,0,0,224
9,0,0,0,0,225
10,0,0,0,0,225
11,0,0,0,0,225
12,0,0,0,0,225
13,0,0,0,0,225
14,0,0,0,0,225
15,0,0,0,0,225
0,0,0,0,0,225
1,0,0,0,0,225
2,0,0,0,0,225
3,0,0,0,0,226
4,0,0,0,0,226
5,0,0,0,0,226
6,0,0,0,0,226
7,0,0,0,0,226
8,0,0,0,0,226
9,0,0,0,0,226
10,0,0,0,0,227
11,0,0,0,0,227
12,0,0,0,0,227
13,0,0,0,0,227
14,0,0,0,0,227
15,0,0,0,0,227
0,0,0,0,0,227
1,0,0,0,0,227
2,0,0,0,0,227
3,0,0,0,0,228
4,0,0,0,0,228
5,0,0,0,0,228
6,0,0,0,0,228
7,0,0,0,0,228
8,0,0,0,0,228
9,0,0,0,0,229
10,0,0,0,0,229
11,0,0,0,0,229
12,0,0,0,0,229
13,0,0,0,0,230
14,0,0,0,0,230
15,0,0,0,0,230
0,0,0,0,0,230
1,0,0,0,0,230
2,0,0,0,0,231
3,0,0,0,0,231
4,0,0,0,0,231
5,0,0,0,0,231
6,0,0,0,0,231
7,0,0,0,0,232
8,0,0,0,0,232
9,0,0,0,0,232
10,0,0,0,0,232
11,0,0,0,0,233
12,0,0,0,0,233
13,0,0,0,0,233
14,0,0,0,0,233
15,0,0,0,0,234
0,0,0,0,0,234
1,0,0,0,0,234
2,0,0,0,0,234
3,0,0,0,0,235
4,0,0,0,0,235
5,0,0,0,0,235
6,0,0,0,0,235
7,0,0,0,0,236
8,0,0,0,0,236
9,0,0,0,0,236
10,0,0,0,0,236
11,0,0,0,0,236
12,0,0,0,0,237
13,0,0,0,0,237
14,0,0,0,0,237
15,0,0,0,0,237
0,0,0,0,0,238
1,0,0,0,0,238
2,0,0,0,0,238
3,0,0,0,0,238
4,0,0,0,0,238
5,0,0,0,0,239
6,0,0,0,0,239
7,0,0,0,0,239
8,0,0,0,0,239
9,0,0,0,0,239
10,0,0,0,0,240
11,0,0,0,0,240
12,0,0,0,0,240
13,0,0,0,0,240
14,0,0,0,0,240
15,0,0,0,0,240
0,0,0,0,0,240
1,0,0,0,0,241
2,0,0,0,0,241
3,0,0,0,0,241
4,0,0,0,0,241
5,0,0,0,0,241
6,0,0,0,0,241
7,0,0,0,0,242
8,0,0,0,0,242
9,0,0,0,0,242
10,0,0,0,0,242
11,0,0,0,0,242
12,0,0,0,0,242
13,0,0,0,0,242
14,0,0,0,0,243
15,0,0,0,0,243
0,0,0,0,0,243
1,0,0,0,0,243
2,0,0,0,0,243
3,0,0,0,0,243
4,0,0,0,0,243
5,0,0,0,0,243
6,0,0,0,0,243
7,0,0,0,0,244
8,0,0,0,0,244
9,0,0,0,0,244
10,0,0,0,0,244
11,0,0,0,0,244
12,0,0,0,0,244
13,0,0,0,0,244
14,0,0,0,0,244
15,0,0,0,0,244
0,0,0,0,0,244
1,0,0,0,0,244
2,0,0,0,0,245
3,0,0,0,0,245
4,0,0,0,0,245
5,0,0,0,0,245
6,0,0,0,0,245
7,0,0,0,0,245
8,0,0,0,0,245
9,0,0,0,0,245
10,0,0,0,0,245
11,0,0,0,0,246
12,0,0,0,0,246
13,0,0,0,0,246
14,0,0,0,0,246
15,0,0,0,0,246
0,0,0,0,0,246
1,0,0,0,0,246
2,0,0,0,0,246
3,0,0,0,0,246
4,0,0,0,0,246
5,0,0,0,0,246
6,0,0,0,0,246
7,0,0,0,0,246
8,0,0,0,0,246
9,0,0,0,0,246
10,0,0,0,0,247
11,0,0,0,0,247
12,0,0,0,0,247
13,0,0,0,0,247
14,0,0,0,0,247
15,0,0,0,0,247
0,0,0,0,0,247
1,0,0,0,0,247
2,0,0,0,0,247
3,0,0,0,0,247
4,0,0,0,0,247
5,0,0,0,0,247
6,0,0,0,0,247
7,0,0,0,0,247
8,0,0,0,0,247
9,0,0,0,0,247
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,248
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,248
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,248
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,248
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,248
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,248
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,249
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,248
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,249
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,249
11,0,0,0,0,249
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,249
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,249
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,248
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,248
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,248
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,248
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,248
14,0,0,0,0,248
15,0,0,0,0,248
0,0,0,0,0,248
1,0,0,0,0,248
2,0,0,0,0,248
3,0,0,0,0,248
4,0,0,0,0,248
5,0,0,0,0,248
6,0,0,0,0,248
7,0,0,0,0,248
8,0,0,0,0,248
9,0,0,0,0,248
10,0,0,0,0,248
11,0,0,0,0,248
12,0,0,0,0,248
13,0,0,0,0,247
