intervalos,canal1,canal2,canal3,canal4,canal5
8,0,0,0,0,212
9,0,0,0,0,212
10,0,0,0,0,212
11,0,0,0,0,212
12,0,0,0,0,212
13,0,0,0,0,212
14,0,0,0,0,211
15,0,0,0,0,211
0,0,0,0,0,211
1,0,0,0,0,211
2,0,0,0,0,211
3,0,0,0,0,211
4,0,0,0,0,211
5,0,0,0,0,211
6,0,0,0,0,211
7,0,0,0,0,211
8,0,0,0,0,211
9,0,0,0,0,211
10,0,0,0,0,211
11,0,0,0,0,211
12,0,0,0,0,211
13,0,0,0,0,211
14,0,0,0,0,211
15,0,0,0,0,211
0,0,0,0,0,211
1,0,0,0,0,211
2,0,0,0,0,211
3,0,0,0,0,211
4,0,0,0,0,211
5,0,0,0,0,211
6,0,0,0,0,211
7,0,0,0,0,211
8,0,0,0,0,211
9,0,0,0,0,210
10,0,0,0,0,210
11,0,0,0,0,210
12,0,0,0,0,210
13,0,0,0,0,210
14,0,0,0,0,210
15,0,0,0,0,210
0,0,0,0,0,210
1,0,0,0,0,210
2,0,0,0,0,210
3,0,0,0,0,210
4,0,0,0,0,210
5,0,0,0,0,210
6,0,0,0,0,210
7,0,0,0,0,210
8,0,0,0,0,210
9,0,0,0,0,210
10,0,0,0,0,209
11,0,0,0,0,209
12,0,0,0,0,209
13,0,0,0,0,209
14,0,0,0,0,208
15,0,0,0,0,208
0,0,0,0,0,208
1,0,0,0,0,208
2,0,0,0,0,209
3,0,0,0,0,209
4,0,0,0,0,209
5,0,0,0,0,209
6,0,0,0,0,209
7,0,0,0,0,209
8,0,0,0,0,209
9,0,0,0,0,209
10,0,0,0,0,209
11,0,0,0,0,209
12,0,0,0,0,209
13,0,0,0,0,210
14,0,0,0,0,210
15,0,0,0,0,210
0,0,0,0,0,210
1,0,0,0,0,210
2,0,0,0,0,210
3,0,0,0,0,210
4,0,0,0,0,210
5,0,0,0,0,210
6,0,0,0,0,210
7,0,0,0,0,210
8,0,0,0,0,210
9,0,0,0,0,209
10,0,0,0,0,209
11,0,0,0,0,209
12,0,0,0,0,209
13,0,0,0,0,209
14,0,0,0,0,209
15,0,0,0,0,209
0,0,0,0,0,209
1,0,0,0,0,209
2,0,0,0,0,209
3,0,0,0,0,209
4,0,0,0,0,209
5,0,0,0,0,209
6,0,0,0,0,209
7,0,0,0,0,209
8,0,0,0,0,209
9,0,0,0,0,209
10,0,0,0,0,209
11,0,0,0,0,209
12,0,0,0,0,209
13,0,0,0,0,209
14,0,0,0,0,209
15,0,0,0,0,209
0,0,0,0,0,209
1,0,0,0,0,209
2,0,0,0,0,209
3,0,0,0,0,209
4,0,0,0,0,209
5,0,0,0,0,209
6,0,0,0,0,208
7,0,0,0,0,208
8,0,0,0,0,208
9,0,0,0,0,208
10,0,0,0,0,208
11,0,0,0,0,208
12,0,0,0,0,208
13,0,0,0,0,208
14,0,0,0,0,208
15,0,0,0,0,208
0,0,0,0,0,208
1,0,0,0,0,208
2,0,0,0,0,208
3,0,0,0,0,208
4,0,0,0,0,208
5,0,0,0,0,208
6,0,0,0,0,208
7,0,0,0,0,208
8,0,0,0,0,208
9,0,0,0,0,208
10,0,0,0,0,207
11,0,0,0,0,208
12,0,0,0,0,208
13,0,0,0,0,207
14,0,0,0,0,207
15,0,0,0,0,207
0,0,0,0,0,207
1,0,0,0,0,207
2,0,0,0,0,207
3,0,0,0,0,207
4,0,0,0,0,207
5,0,0,0,0,207
6,0,0,0,0,207
7,0,0,0,0,207
8,0,0,0,0,207
9,0,0,0,0,207
10,0,0,0,0,207
11,0,0,0,0,207
12,0,0,0,0,207
13,0,0,0,0,207
14,0,0,0,0,207
15,0,0,0,0,207
0,0,0,0,0,207
1,0,0,0,0,207
2,0,0,0,0,207
3,0,0,0,0,207
4,0,0,0,0,208
5,0,0,0,0,208
6,0,0,0,0,208
7,0,0,0,0,208
8,0,0,0,0,208
9,0,0,0,0,208
10,0,0,0,0,208
11,0,0,0,0,208
12,0,0,0,0,208
13,0,0,0,0,208
14,0,0,0,0,208
15,0,0,0,0,208
0,0,0,0,0,208
1,0,0,0,0,209
2,0,0,0,0,209
3,0,0,0,0,209
4,0,0,0,0,209
5,0,0,0,0,209
6,0,0,0,0,209
7,0,0,0,0,209
8,0,0,0,0,210
9,0,0,0,0,210
10,0,0,0,0,210
11,0,0,0,0,210
12,0,0,0,0,211
13,0,0,0,0,211
14,0,0,0,0,211
15,0,0,0,0,211
0,0,0,0,0,211
1,0,0,0,0,211
2,0,0,0,0,211
3,0,0,0,0,211
4,0,0,0,0,212
5,0,0,0,0,212
6,0,0,0,0,212
7,0,0,0,0,212
8,0,0,0,0,212
9,0,0,0,0,212
10,0,0,0,0,213
11,0,0,0,0,213
12,0,0,0,0,213
13,0,0,0,0,214
14,0,0,0,0,214
15,0,0,0,0,214
0,0,0,0,0,214
1,0,0,0,0,214
2,0,0,0,0,215
3,0,0,0,0,215
4,0,0,0,0,215
5,0,0,0,0,216
6,0,0,0,0,216
7,0,0,0,0,216
8,0,0,0,0,216
9,0,0,0,0,216
10,0,0,0,0,216
11,0,0,0,0,217
12,0,0,0,0,217
13,0,0,0,0,217
14,0,0,0,0,217
15,0,0,0,0,218
0,0,0,0,0,218
1,0,0,0,0,218
2,0,0,0,0,219
3,0,0,0,0,219
4,0,0,0,0,219
5,0,0,0,0,220
6,0,0,0,0,220
7,0,0,0,0,220
8,0,0,0,0,220
9,0,0,0,0,221
10,0,0,0,0,221
11,0,0,0,0,221
12,0,0,0,0,221
13,0,0,0,0,222
14,0,0,0,0,222
15,0,0,0,0,222
0,0,0,0,0,223
1,0,0,0,0,223
2,0,0,0,0,223
3,0,0,0,0,223
4,0,0,0,0,224
5,0,0,0,0,224
6,0,0,0,0,224
7,0,0,0,0,224
8,0,0,0,0,224
9,0,0,0,0,225
10,0,0,0,0,225
11,0,0,0,0,225
12,0,0,0,0,225
13,0,0,0,0,226
14,0,0,0,0,226
15,0,0,0,0,226
0,0,0,0,0,226
1,0,0,0,0,226
2,0,0,0,0,227
3,0,0,0,0,227
4,0,0,0,0,227
5,0,0,0,0,227
6,0,0,0,0,227
7,0,0,0,0,227
8,0,0,0,0,228
9,0,0,0,0,228
10,0,0,0,0,228
11,0,0,0,0,228
12,0,0,0,0,228
13,0,0,0,0,228
14,0,0,0,0,229
15,0,0,0,0,229
0,0,0,0,0,229
1,0,0,0,0,229
2,0,0,0,0,230
3,0,0,0,0,230
4,0,0,0,0,230
5,0,0,0,0,230
6,0,0,0,0,230
7,0,0,0,0,231
8,0,0,0,0,231
9,0,0,0,0,231
10,0,0,0,0,231
11,0,0,0,0,231
12,0,0,0,0,231
13,0,0,0,0,231
14,0,0,0,0,231
15,0,0,0,0,232
0,0,0,0,0,232
1,0,0,0,0,232
2,0,0,0,0,232
3,0,0,0,0,232
4,0,0,0,0,232
5,0,0,0,0,233
6,0,0,0,0,233
7,0,0,0,0,233
8,0,0,0,0,233
9,0,0,0,0,233
10,0,0,0,0,233
11,0,0,0,0,233
12,0,0,0,0,234
13,0,0,0,0,234
14,0,0,0,0,234
15,0,0,0,0,234
0,0,0,0,0,234
1,0,0,0,0,235
2,0,0,0,0,234
3,0,0,0,0,235
4,0,0,0,0,235
5,0,0,0,0,235
6,0,0,0,0,235
7,0,0,0,0,235
8,0,0,0,0,235
9,0,0,0,0,235
10,0,0,0,0,235
11,0,0,0,0,235
12,0,0,0,0,236
13,0,0,0,0,236
14,0,0,0,0,236
15,0,0,0,0,236
0,0,0,0,0,236
1,0,0,0,0,236
2,0,0,0,0,236
3,0,0,0,0,236
4,0,0,0,0,236
5,0,0,0,0,236
6,0,0,0,0,236
7,0,0,0,0,236
8,0,0,0,0,236
9,0,0,0,0,236
10,0,0,0,0,236
11,0,0,0,0,237
12,0,0,0,0,237
13,0,0,0,0,237
14,0,0,0,0,237
15,0,0,0,0,237
0,0,0,0,0,237
1,0,0,0,0,237
2,0,0,0,0,237
3,0,0,0,0,237
4,0,0,0,0,237
5,0,0,0,0,237
6,0,0,0,0,237
7,0,0,0,0,237
8,0,0,0,0,237
9,0,0,0,0,237
10,0,0,0,0,237
11,0,0,0,0,238
12,0,0,0,0,238
13,0,0,0,0,238
14,0,0,0,0,237
15,0,0,0,0,238
0,0,0,0,0,238
1,0,0,0,0,238
2,0,0,0,0,238
3,0,0,0,0,238
4,0,0,0,0,238
5,0,0,0,0,238
6,0,0,0,0,238
7,0,0,0,0,238
8,0,0,0,0,238
9,0,0,0,0,238
10,0,0,0,0,238
11,0,0,0,0,238
12,0,0,0,0,238
13,0,0,0,0,238
14,0,0,0,0,238
15,0,0,0,0,238
0,0,0,0,0,238
1,0,0,0,0,238
2,0,0,0,0,238
3,0,0,0,0,238
4,0,0,0,0,238
5,0,0,0,0,238
6,0,0,0,0,238
7,0,0,0,0,238
8,0,0,0,0,238
9,0,0,0,0,238
10,0,0,0,0,238
11,0,0,0,0,238
12,0,0,0,0,238
13,0,0,0,0,238
14,0,0,0,0,238
15,0,0,0,0,238
0,0,0,0,0,238
1,0,0,0,0,238
2,0,0,0,0,238
3,0,0,0,0,238
4,0,0,0,0,238
5,0,0,0,0,238
6,0,0,0,0,238
7,0,0,0,0,238
8,0,0,0,0,238
9,0,0,0,0,238
10,0,0,0,0,238
11,0,0,0,0,238
12,0,0,0,0,238
13,0,0,0,0,238
14,0,0,0,0,238
15,0,0,0,0,238
0,0,0,0,0,238
1,0,0,0,0,238
2,0,0,0,0,238
3,0,0,0,0,238
4,0,0,0,0,237
5,0,0,0,0,237
6,0,0,0,0,237
7,0,0,0,0,237
8,0,0,0,0,237
9,0,0,0,0,237
10,0,0,0,0,237
11,0,0,0,0,237
12,0,0,0,0,237
13,0,0,0,0,237
14,0,0,0,0,236
15,0,0,0,0,236
0,0,0,0,0,236
1,0,0,0,0,236
2,0,0,0,0,236
3,0,0,0,0,236
4,0,0,0,0,236
5,0,0,0,0,236
6,0,0,0,0,236
7,0,0,0,0,236
8,0,0,0,0,236
9,0,0,0,0,236
10,0,0,0,0,236
11,0,0,0,0,236
12,0,0,0,0,236
13,0,0,0,0,236
14,0,0,0,0,236
15,0,0,0,0,236
0,0,0,0,0,236
1,0,0,0,0,236
2,0,0,0,0,236
3,0,0,0,0,236
4,0,0,0,0,236
5,0,0,0,0,236
6,0,0,0,0,236
7,0,0,0,0,236
8,0,0,0,0,236
9,0,0,0,0,235
